,address,created_at,currency,id,is_active,name,updated_at
0,,2019-03-08T14:05:46Z,GBP,7889179,True,Wellcome Trust,2019-03-08T14:05:46Z
1,,2019-01-30T11:47:34Z,GBP,7738296,True,TIL,2019-01-30T11:47:34Z
2,,2019-01-30T10:58:47Z,GBP,7738175,True,Leeds,2019-01-30T10:58:47Z
3,,2018-12-13T15:30:34Z,GBP,7515887,True,Alan Turing Institute,2018-12-13T15:30:34Z
4,,2018-11-26T11:24:27Z,GBP,7444895,True,SPF,2018-11-26T11:24:27Z
5,,2018-11-09T16:05:51Z,GBP,7394488,True,"Tools, Practices, and Systems",2018-11-09T16:05:51Z
6,,2018-11-09T15:41:08Z,GBP,7394387,True,Artifical Intelligence,2018-11-09T15:41:08Z
7,,2018-11-09T15:40:59Z,GBP,7394386,True,Data science at scale,2018-11-09T15:40:59Z
8,,2018-11-09T15:40:48Z,GBP,7394384,True,Data-centric engineering,2018-11-09T15:40:48Z
9,,2018-11-09T15:40:31Z,GBP,7394383,True,Finance and economics,2018-11-09T15:40:31Z
10,,2018-11-09T15:40:17Z,GBP,7394382,True,Health,2018-11-09T15:40:17Z
11,,2018-11-09T15:39:53Z,GBP,7394380,True,Data science for science and the humanities,2018-11-09T15:48:07Z
12,,2018-11-09T15:39:41Z,GBP,7394377,True,Urban analytics,2018-11-09T15:39:41Z
13,,2018-10-25T10:37:29Z,GBP,7343536,True,External,2018-10-25T10:37:29Z
14,,2018-10-25T10:36:45Z,GBP,7343534,True,Seed,2018-10-25T10:36:45Z
15,,2018-10-04T12:33:37Z,GBP,7273629,True,Trac days,2018-10-04T12:33:37Z
16,,2018-10-02T14:03:07Z,GBP,7265152,True,Defence and security,2018-11-09T15:39:27Z
17,,2018-09-25T16:53:44Z,GBP,7236234,True,Research Support,2018-11-09T15:42:11Z
18,,2018-09-25T16:49:46Z,GBP,7236211,True,Hut 23,2018-11-09T15:41:31Z
