,bill_by,budget,budget_by,budget_is_monthly,client.currency,client.id,client.name,code,cost_budget,cost_budget_include_expenses,created_at,ends_on,fee,hourly_rate,id,is_active,is_billable,is_fixed_fee,name,notes,notify_when_over_budget,over_budget_notification_date,over_budget_notification_percentage,show_budget_to_all,starts_on,updated_at
66,none,,none,False,GBP,7273629,Trac days,,,False,2018-10-04T12:34:32Z,,,,18753173,True,False,False,Leave,,False,,80.0,False,,2018-11-29T09:55:14Z
67,none,,none,False,GBP,7273629,Trac days,,,False,2018-10-04T12:33:37Z,,,,18753163,True,False,False,Sickness,,False,,80.0,False,,2019-02-25T12:49:52Z
68,none,888.0,project,False,GBP,7265152,Defence and security,R-DST-MAR,,False,2018-10-02T14:03:07Z,2019-03-31,,,18725372,True,True,False,Maru,,False,,80.0,False,2018-04-01,2019-02-06T16:04:39Z
69,none,710.4,project,False,GBP,7394386,Data science at scale,R-INT-001,,False,2018-09-26T08:43:40Z,2018-12-31,,,18658281,True,True,False,Crypto Federated Learning (SHEEP),,False,,80.0,False,,2019-02-06T16:22:36Z
70,none,,none,False,GBP,7394382,Health,,,False,2018-09-26T08:32:04Z,,,,18658196,True,True,False,PDQ,,False,,80.0,False,,2018-11-09T15:50:04Z
71,none,,none,False,GBP,7236211,Hut 23,,,False,2018-09-25T16:56:25Z,,,,18650735,True,False,False,Professional development,,False,,80.0,False,,2018-11-09T15:54:27Z
72,none,,none,False,GBP,7236234,Research Support,,,False,2018-09-25T16:53:44Z,,,,18650700,True,False,False,Compute / Platform support,,False,,80.0,False,,2018-11-09T16:08:19Z
73,none,,none,False,GBP,7236211,Hut 23,,,False,2018-09-25T16:51:37Z,,,,18650675,True,False,False,Hut 23 team,,False,,80.0,False,,2018-11-09T15:59:40Z
74,none,619.2,project,False,GBP,7343534,Seed,,,False,2018-09-25T09:16:33Z,,,,18644962,True,True,False,Reproducible Research,,False,,80.0,False,2018-05-01,2019-02-06T16:10:22Z
75,none,1448.0,project,False,GBP,7394377,Urban analytics,R-TMF-001,,False,2018-09-25T08:45:08Z,2019-10-31,,,18644680,True,True,False,AI for City Planning,,False,,80.0,False,2018-07-01,2019-02-06T16:52:07Z
76,none,1647.2,project,False,GBP,7394383,Finance and economics,R-HSB-001,,False,2018-09-25T08:41:52Z,,,,18644656,True,True,False,HSBC EDS,,False,,80.0,False,,2019-02-06T16:49:46Z
77,none,322.0,project,False,GBP,7343534,Seed,,,False,2018-09-25T08:41:24Z,2019-02-28,,,18644652,True,True,False,DetectorChecker,,False,,80.0,False,2018-08-20,2019-02-06T10:54:08Z
78,none,2220.0,project,False,GBP,7265152,Defence and security,,,False,2018-09-25T07:56:16Z,,,,18644291,True,True,False,AIDA,,False,,80.0,False,,2019-02-06T11:15:57Z
79,none,652.0,project,False,GBP,7394386,Data science at scale,R-INT-001,,False,2018-08-16T10:57:43Z,,,,18266019,True,True,False,Sargasso (Intel Sparse),,False,,80.0,False,,2019-02-06T16:15:35Z
