,budget,created_at,hourly_rate,id,is_active,is_project_manager,updated_at,project.code,project.id,project.name,task.id,task.name
0,,2019-03-20T13:13:28Z,,221413500,True,,2019-03-20T13:13:28Z,,18650700,Compute / Platform support,11766581,RCWG
1,,2019-03-15T18:39:38Z,,220968508,True,,2019-03-15T18:39:38Z,,20508323,Mini-bridge support,10375718,Project Management
2,,2019-03-15T18:39:38Z,,220968507,True,,2019-03-15T18:39:38Z,,20508323,Mini-bridge support,10375716,Programming
3,,2019-03-15T18:39:38Z,,220968506,True,,2019-03-15T18:39:38Z,,20508323,Mini-bridge support,10375717,Marketing
4,,2019-03-15T18:39:38Z,,220968505,True,,2019-03-15T18:39:38Z,,20508323,Mini-bridge support,10375715,Graphic Design
5,,2019-03-15T18:39:38Z,,220968504,True,,2019-03-15T18:39:38Z,,20508323,Mini-bridge support,10375719,Business Development
6,,2019-03-12T15:54:37Z,,220532461,True,,2019-03-12T15:54:37Z,,20463792,Uncertainty in Government Modelling,10375718,Project Management
7,,2019-03-12T15:54:37Z,,220532460,True,,2019-03-12T15:54:37Z,,20463792,Uncertainty in Government Modelling,10375716,Programming
8,,2019-03-12T15:54:37Z,,220532459,True,,2019-03-12T15:54:37Z,,20463792,Uncertainty in Government Modelling,10375717,Marketing
9,,2019-03-12T15:54:37Z,,220532458,True,,2019-03-12T15:54:37Z,,20463792,Uncertainty in Government Modelling,10375715,Graphic Design
10,,2019-03-12T15:54:37Z,,220532457,True,,2019-03-12T15:54:37Z,,20463792,Uncertainty in Government Modelling,10375719,Business Development
11,,2019-03-08T17:05:54Z,,220210635,True,,2019-03-08T17:05:54Z,,20431477,Urban systems resilience,10375718,Project Management
12,,2019-03-08T17:05:54Z,,220210634,True,,2019-03-08T17:05:54Z,,20431477,Urban systems resilience,10375716,Programming
13,,2019-03-08T17:05:54Z,,220210633,True,,2019-03-08T17:05:54Z,,20431477,Urban systems resilience,10375717,Marketing
14,,2019-03-08T17:05:54Z,,220210632,True,,2019-03-08T17:05:54Z,,20431477,Urban systems resilience,10375715,Graphic Design
15,,2019-03-08T17:05:54Z,,220210631,True,,2019-03-08T17:05:54Z,,20431477,Urban systems resilience,10375719,Business Development
16,,2019-03-08T17:04:40Z,,220210422,True,,2019-03-08T17:04:40Z,,20431462,Urban observatory spatial sampling,10375718,Project Management
17,,2019-03-08T17:04:40Z,,220210421,True,,2019-03-08T17:04:40Z,,20431462,Urban observatory spatial sampling,10375716,Programming
18,,2019-03-08T17:04:40Z,,220210420,True,,2019-03-08T17:04:40Z,,20431462,Urban observatory spatial sampling,10375717,Marketing
19,,2019-03-08T17:04:40Z,,220210419,True,,2019-03-08T17:04:40Z,,20431462,Urban observatory spatial sampling,10375715,Graphic Design
20,,2019-03-08T17:04:40Z,,220210418,True,,2019-03-08T17:04:40Z,,20431462,Urban observatory spatial sampling,10375719,Business Development
21,,2019-03-08T17:02:37Z,,220210165,True,,2019-03-08T17:02:37Z,,20431444,Turing ML toolbox,10375718,Project Management
22,,2019-03-08T17:02:37Z,,220210164,True,,2019-03-08T17:02:37Z,,20431444,Turing ML toolbox,10375716,Programming
23,,2019-03-08T17:02:37Z,,220210163,True,,2019-03-08T17:02:37Z,,20431444,Turing ML toolbox,10375717,Marketing
24,,2019-03-08T17:02:37Z,,220210162,True,,2019-03-08T17:02:37Z,,20431444,Turing ML toolbox,10375715,Graphic Design
25,,2019-03-08T17:02:37Z,,220210161,True,,2019-03-08T17:02:37Z,,20431444,Turing ML toolbox,10375719,Business Development
26,,2019-03-08T16:59:58Z,,220209823,True,,2019-03-08T16:59:58Z,,20431406,Synthetic data,10375718,Project Management
27,,2019-03-08T16:59:58Z,,220209822,True,,2019-03-08T16:59:58Z,,20431406,Synthetic data,10375716,Programming
