id,archived,client_id,code,color,end_date,harvest_id,name,notes,start_date,tags,updated_at,updated_by_id
1812125,False,769467.0,,green,2020-03-31,19279774.0,Fitbit classification,,2018-11-27,[],2019-04-07T15:59:42.039Z,399979
1814107,False,769467.0,,orange,2019-05-31,19297699.0,Parallel Monte Carlo,,2018-11-27,[],2019-04-07T16:06:13.310Z,399979
1823043,False,780929.0,,orange,2023-03-31,18946187.0,Living With Machines,,2018-06-01,[],2019-04-07T16:35:57.390Z,399979
1823070,False,780936.0,R-IAG-001,orange,2019-01-31,18945702.0,BA (IAG),,2018-01-15,[],2019-04-07T16:39:00.751Z,399979
1823097,False,761645.0,R-DST-GUA,orange,2019-04-30,18945641.0,GUARD,,2018-04-01,[],2019-04-07T16:46:07.071Z,399979
1823098,False,745539.0,,aqua,2019-12-31,,CWTS - Leiden,,2019-01-01,[],2019-04-07T15:54:31.348Z,399979
1823867,False,770999.0,,purple,2019-03-29,,Safe Haven,,2018-11-01,[],2019-04-07T16:15:52.064Z,399979
1823869,False,745539.0,,orange,2020-12-31,,Streaming healthcare analytics,,2019-04-01,[],2019-04-07T15:55:58.066Z,399979
1823872,False,780936.0,,green,2019-12-27,19930508.0,Clean Air,,2019-04-01,[],2019-04-07T15:55:55.027Z,399979
1823898,False,761645.0,,orange,2019-12-31,18946219.0,AIDA-Lloyds,,2018-06-01,[],2019-04-07T16:43:32.234Z,399979
1823941,False,770999.0,,orange,2019-03-31,19378569.0,Data Science Benchmarking,,2018-12-01,[],2019-04-07T16:01:24.113Z,399979
1823951,False,761647.0,,orange,2019-11-30,19378642.0,Bayesian Performance Tuning,,2019-02-01,[],2019-04-07T16:01:21.706Z,399979
1824194,False,761645.0,R-DST-MAR,orange,2019-03-31,18725372.0,Maru,,2018-04-01,[],2019-04-07T16:46:20.775Z,399979
1824195,False,781283.0,,orange,,18753163.0,Sickness,,,[],2018-12-05T14:12:07.909Z,399979
1824196,False,781283.0,,orange,,18753173.0,Leave,,,[],2019-03-12T16:29:25.837Z,408182
1824197,False,780936.0,R-NATS-001,blue,2019-12-31,18793805.0,NATS,,2018-05-01,[],2019-04-07T16:43:46.323Z,399979
1824198,False,761645.0,R-DST-TDA,orange,,18945741.0,Parallel TDA,,,[],2019-02-06T16:41:41.622Z,399979
1824199,False,780936.0,,orange,2018-08-31,18945780.0,ARC,,2018-05-01,[],2019-04-07T16:44:48.251Z,399979
1824200,False,780936.0,,orange,2018-06-30,18945918.0,BLUE,,2018-04-01,[],2019-04-07T16:45:09.838Z,399979
1824201,False,761647.0,R-SIS-003,orange,,18945931.0,Network Comparison,,,[],2018-12-05T14:12:08.120Z,399979
1824202,False,780936.0,R-LRF-001,orange,2018-07-31,18945950.0,MCGPU,,2018-04-01,[],2019-04-07T16:44:29.022Z,399979
1824203,False,780936.0,,orange,2019-06-21,18946167.0,Probabilistic FEM,,2018-12-03,[],2019-04-07T15:50:46.500Z,399979
1824204,False,761648.0,,orange,2018-09-30,18946172.0,Coram,,2018-09-01,[],2019-04-07T16:34:57.050Z,399979
1824205,False,761648.0,R-SAM-001,orange,2018-09-30,18946181.0,Samsung,,2018-04-01,[],2019-04-07T16:46:32.108Z,399979
1824206,False,781285.0,,orange,,18946199.0,Safe Haven,,,[],2018-12-05T14:12:08.270Z,399979
1824207,False,761645.0,R-DST-DDI,orange,2018-07-31,18946216.0,Domain Discovery,,2018-06-01,[],2019-04-07T16:38:49.399Z,399979
1824208,False,780929.0,,orange,,18946339.0,Chronotopic Cartographies,,,[],2018-12-05T14:12:08.358Z,399979
1824209,False,781285.0,,orange,2019-05-31,19058649.0,Nocell,,2018-11-01,[],2019-04-07T15:54:53.809Z,399979
1824210,False,745540.0,,orange,2019-12-31,19118768.0,Team management,,2018-04-01,[],2019-04-07T16:29:55.826Z,399979
1824211,False,781285.0,,orange,,19119208.0,"Programme Management: Tools, Practices, and Systems",,,[],2018-12-05T14:12:08.441Z,399979
1824212,False,745541.0,,orange,,19119287.0,Programme support,,,[],2018-12-05T14:12:08.468Z,399979
1824213,False,745541.0,,orange,,19119295.0,Ad hoc support,,,[],2018-12-05T14:12:08.495Z,399979
1824214,False,745541.0,,orange,,19119306.0,DSG support,,,[],2018-12-05T14:12:08.523Z,399979
1824215,False,745541.0,,orange,,19119316.0,Giving training and talks,,,[],2018-12-05T14:12:08.550Z,399979
1824216,False,781283.0,,orange,,19119330.0,Time off in lieu (TOIL),,,[],2018-12-05T14:12:08.576Z,399979
1824217,False,745541.0,,orange,,19171979.0,LearnR Tutorial,,,[],2018-12-05T14:12:08.604Z,399979
1824218,False,745541.0,,orange,,19174247.0,esig_builder,,,[],2018-12-05T14:12:08.630Z,399979
1834573,False,770999.0,,orange,2019-03-29,,SPF TPS Theme Management,,2018-11-01,[],2018-12-13T13:01:16.208Z,408183
1834574,False,770999.0,,orange,2019-03-29,,SPF Learning Machines,,2019-01-01,[],2018-12-13T13:02:02.768Z,408183
1834585,False,770999.0,,orange,2019-03-31,19459531.0,ALOGIT Python,,2018-12-10,[],2019-04-07T15:56:14.048Z,399979
1834909,False,784816.0,,orange,2019-06-21,19471496.0,UQM^3,,2019-01-07,[],2019-04-07T15:50:40.337Z,399979
1836148,False,784816.0,,orange,2019-12-31,19786410.0,DS for Sustainable Development,"Gavin Shaddick (Turing Fellow, Exeter).  Dynamics code HWB/10004",2019-01-01,[],2019-04-07T16:17:39.752Z,399979
1836162,False,769480.0,,orange,2021-03-31,,Urban observatory spatial sampling,"Rachel Franklin (Turing Fellow, Newcastle)",2019-04-01,[],2019-04-07T16:00:41.580Z,399979
1846239,False,769469.0,,orange,2019-11-30,19557380.0,Knowledge Flows,,2018-12-01,[],2019-04-07T15:49:38.832Z,399979
1881586,False,784816.0,,orange,,19829138.0,UQBB,,,[],2019-03-12T15:09:27.334Z,458589
1915746,False,745540.0,,orange,,19819550.0,44 days,,,[],2019-02-07T13:27:09.283Z,399979
1915747,False,815228.0,,orange,2018-05-31,19964019.0,Leeds TF Projects,,2018-05-01,[],2019-04-07T16:45:23.159Z,399979
1915748,False,745541.0,,orange,,19964384.0,Support,,,[],2019-02-07T13:27:09.372Z,399979
1915749,False,745540.0,,orange,,19964397.0,Proposals and strategy,,,[],2019-02-07T13:27:09.400Z,399979
