id,active_on_days_off,allocation,end_date,notes,person_id,placeholder_id,project_id,repeated_assignment_set_id,start_date,updated_at,updated_by_id
19314451,False,14400,2018-11-30,,408190.0,,1723252,,2018-11-01,2019-04-07T16:30:46.804Z,399979
19314475,False,14400,2018-12-31,,408190.0,,1723263,,2018-11-01,2019-04-07T16:16:22.555Z,399979
19314509,False,14400,2018-12-31,,408187.0,,1723263,,2018-11-01,2019-04-07T16:15:58.399Z,399979
19314518,False,14400,2019-03-31,,408187.0,,1723251,,2018-11-01,2019-04-07T16:00:37.910Z,399979
19314525,False,14400,2019-03-31,,408186.0,,1723251,,2018-11-01,2019-04-07T15:57:37.566Z,399979
19314531,False,14400,2019-06-02,,408186.0,,1723254,,2018-11-01,2019-04-07T15:57:40.316Z,399979
19314582,False,14400,2019-03-31,,408184.0,,1793794,,2018-11-01,2019-04-07T15:56:27.880Z,399979
19314607,False,14400,2019-05-31,,408184.0,,1723254,,2018-11-01,2019-04-07T15:56:30.642Z,399979
19635311,False,14400,2019-05-31,,428847.0,,1812125,,2018-11-27,2019-04-07T15:59:42.036Z,399979
19835143,False,2880,2020-03-31,,408183.0,,1823043,,2018-12-04,2018-12-04T17:27:29.697Z,408183
19835981,False,14400,2020-03-31,,408180.0,,1812125,,2019-01-01,2019-04-07T15:51:15.378Z,399979
19836025,False,14400,2018-06-30,,408180.0,,1823070,,2018-01-15,2019-04-07T16:39:00.748Z,399979
19836372,False,14400,2019-12-31,,408181.0,,1823043,,2018-11-01,2019-04-07T15:53:43.592Z,399979
19836387,False,14400,2018-12-09,,408181.0,,1723251,,2018-11-01,2019-04-07T16:30:16.178Z,399979
19836400,False,14400,2018-12-31,,408181.0,,1823097,,2018-12-10,2019-04-07T16:17:29.131Z,399979
19836432,False,7200,2019-12-31,,408181.0,,1823098,,2019-01-01,2019-04-07T15:54:31.344Z,399979
19836464,False,7200,2019-03-31,,408181.0,,1823097,,2019-01-01,2019-04-07T15:54:27.369Z,399979
19837512,False,14400,2019-05-31,,428847.0,,1814107,,2018-11-27,2019-04-07T15:59:46.148Z,399979
19849922,False,14400,2019-01-27,,428846.0,,1823867,,2018-11-01,2019-04-07T16:06:58.902Z,399979
19849947,False,14400,2019-12-31,,428846.0,,1823869,,2019-04-01,2019-04-07T15:55:58.063Z,399979
19849990,False,14400,2019-12-27,,428846.0,,1823872,,2019-04-01,2019-04-07T15:55:55.024Z,399979
19850070,False,28800,2018-12-31,,408188.0,,1823070,,2018-11-01,2019-04-07T16:16:15.464Z,399979
19850237,False,14400,2019-07-31,,408188.0,,1823898,,2019-01-01,2019-04-07T16:00:58.561Z,399979
19850278,False,14400,2019-01-31,,408188.0,,1823070,,2019-01-01,2019-04-07T16:06:41.906Z,399979
19850957,False,14400,2019-03-31,,428845.0,,1793794,,2018-11-01,2019-04-07T16:01:06.669Z,399979
19850991,False,14400,2019-10-31,,428845.0,,1823898,,2018-11-01,2019-04-07T16:01:03.587Z,399979
19851189,False,14400,2019-01-31,,408190.0,,1723252,,2019-01-01,2019-04-07T16:06:33.970Z,399979
19851210,False,14400,2019-03-31,,408190.0,,1823941,,2018-12-01,2019-04-07T16:01:24.109Z,399979
19851328,False,14400,2019-11-30,,408190.0,,1823951,,2019-02-01,2019-04-07T16:01:21.702Z,399979
19851773,False,28800,2023-03-31,,408179.0,,1823043,,2018-08-01,2019-04-07T15:49:57.745Z,399979
19858271,False,14400,2019-05-31,Assuming extension is approved.,399979.0,,1824209,,2019-01-01,2019-03-12T16:28:59.727Z,408182
19965817,False,14400,2019-02-10,,428846.0,,1814107,,2019-01-28,2019-04-07T16:06:13.306Z,399979
19972475,False,14400,2021-03-31,,408189.0,,1823043,,2018-11-01,2019-04-07T16:01:12.312Z,399979
19972659,False,14400,2019-12-31,,408189.0,,1824197,,2018-11-01,2019-04-07T16:01:16.237Z,399979
20012674,False,14400,2019-03-29,,432681.0,,1824203,,2018-12-03,2019-04-07T15:50:46.496Z,399979
20074389,False,2880,2019-03-29,,408183.0,,1823867,,2018-12-10,2018-12-13T13:00:25.106Z,408183
20074396,False,14400,2019-03-29,,408183.0,,1834573,,2018-11-01,2018-12-13T13:01:16.203Z,408183
20074410,False,2880,2019-03-29,,408183.0,,1834574,,2019-01-01,2018-12-13T13:02:02.764Z,408183
20074471,False,2880,2019-03-29,,408183.0,,1723258,,2018-11-01,2018-12-13T13:02:54.415Z,408183
20074475,False,2880,2019-12-31,,408183.0,,1824210,,2019-01-01,2018-12-13T13:03:17.532Z,408183
20074677,False,14400,2019-04-30,,432682.0,,1823097,,2018-12-10,2019-04-07T15:56:10.693Z,399979
20074777,False,14400,2019-03-31,,432682.0,,1834585,,2018-12-10,2019-04-07T15:56:14.045Z,399979
20079337,False,14400,2019-12-31,,408180.0,,1824197,,2018-10-01,2019-04-07T15:51:19.783Z,399979
20079428,False,14400,2019-12-31,,408188.0,,1824197,,2019-02-01,2019-04-07T16:00:51.728Z,399979
20080198,False,14400,2019-03-29,,432681.0,,1834909,,2019-01-07,2019-04-07T15:50:40.333Z,399979
20085828,False,28800,2018-12-28,,408185.0,,1823867,,2018-12-03,2019-04-07T16:15:52.061Z,399979
20085844,False,14400,2018-11-30,,408185.0,,1824210,,2018-04-01,2019-04-07T16:29:55.823Z,399979
20085847,False,14400,2018-11-30,,408185.0,,1793801,,2018-10-01,2019-04-07T16:29:51.512Z,399979
20104506,False,14400,2019-12-31,,408187.0,,1836148,,2019-01-01,2019-04-07T16:00:35.544Z,399979
20104641,False,14400,2019-12-31,,408187.0,,1836162,,2019-04-01,2019-04-07T16:00:41.577Z,399979
20110703,False,14400,2019-05-31,Assuming extension is approved.,408182.0,,1824209,,2018-11-01,2019-04-07T15:54:53.804Z,399979
20298061,False,14400,2019-11-30,,417332.0,,1846239,,2018-12-01,2019-04-07T15:49:38.829Z,399979
21508829,False,14400,2019-03-31,,417332.0,,1723251,,2018-12-01,2019-04-07T15:52:51.968Z,399979
21510719,False,14400,2019-01-20,,408185.0,,1793801,,2018-12-31,2019-04-07T16:06:52.239Z,399979
21510749,False,14400,2019-01-20,,408185.0,,1824210,,2018-12-31,2019-04-07T16:06:48.329Z,399979
21510795,False,28800,2019-03-24,,408185.0,,1824210,,2019-01-21,2019-04-07T15:56:54.569Z,399979
21516974,False,14400,2019-01-01,,,23092.0,1836148,,2019-01-01,2019-04-07T16:17:39.748Z,399979
21535906,False,14400,2018-04-30,,408178.0,,1824194,,2018-04-01,2019-04-07T16:46:13.640Z,399979
21536043,False,14400,2018-04-30,,408178.0,,1824205,,2018-04-01,2019-04-07T16:46:16.840Z,399979
21536098,False,3600,2018-05-31,,408178.0,,1824194,,2018-05-01,2019-04-07T16:46:20.771Z,399979
21536201,False,3600,2018-05-31,,408178.0,,1723251,,2018-05-01,2019-04-07T16:46:25.364Z,399979
21536208,False,21600,2018-05-31,,408178.0,,1824205,,2018-05-01,2019-04-07T16:46:32.105Z,399979
21536364,False,3600,2018-06-30,,408178.0,,1824194,,2018-06-01,2019-04-07T16:43:35.840Z,399979
21536388,False,7200,2018-06-30,,408178.0,,1824205,,2018-06-01,2019-04-07T16:43:39.008Z,399979
21536615,False,14400,2018-07-01,,408178.0,,1823898,,2018-06-01,2019-04-07T16:43:32.230Z,399979
21536664,False,14400,2018-08-31,,408178.0,,1824205,,2018-07-02,2019-04-07T16:35:33.877Z,399979
21536707,False,14400,2018-09-30,,408178.0,,1823898,,2018-07-02,2019-04-07T16:35:00.842Z,399979
21536949,False,7200,2018-09-30,,408178.0,,1824204,,2018-09-01,2019-04-07T16:34:57.046Z,399979
21537012,False,7200,2018-09-30,,408178.0,,1824205,,2018-09-01,2019-04-07T16:34:50.773Z,399979
21537232,False,14400,2018-06-30,,408180.0,,1824197,,2018-05-01,2019-04-07T16:43:46.319Z,399979
21540387,False,28800,2018-07-31,,408180.0,,1823070,,2018-07-01,2019-04-07T16:35:49.300Z,399979
21540467,False,14400,2018-08-31,,408180.0,,1823070,,2018-08-01,2019-04-07T16:35:45.197Z,399979
21540546,False,14400,2018-08-31,,408180.0,,1793801,,2018-08-01,2019-04-07T16:35:41.878Z,399979
21540612,False,28800,2018-09-30,,408180.0,,1823070,,2018-09-01,2019-04-07T16:34:43.994Z,399979
21540614,False,14400,2018-12-31,,408180.0,,1823070,,2018-10-01,2019-04-07T16:08:51.292Z,399979
